county,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,prosperity_score
St. Joseph IN,10212,8784.76752,13757.7276,15119.4108,6883.27812,18786.0984,8927.87472,0.19438725555708644
Scott IN,10200,8185.12428,14418.4956,13718.3412,6661.656,18688.6332,8519.6016,-0.5751075342934299
Shelby IN,9757.06716,7915.28544,14844.0444,16304.9328,6403.39008,18808.6008,9047.39064,0.5074209620113356
Spencer IN,8784,8724.80352,15664.6812,13463.6268,6344.12988,13017.0252,7074.01536,0.6454767871579986
Starke IN,8784,7855.3206,15247.6236,14972.4732,6029.08224,12663.7128,6963.5076,-0.517867871936822
Steuben IN,9828,8155.14252,14838.5124,15367.6452,6516.00144,13199.7456,7545.20292,0.6061697762938884
Sullivan IN,9468,8784.76752,14839.452,16736.0304,6613.69776,18746.2908,9328.656,-0.049208237272565236
Switzerland IN,8784,8514.92796,14895.9216,13715.1,6268.08396,13035.1548,6879.42996,-0.6408700375343214
Tippecanoe IN,10520.6016,8754.78516,13388.9676,14580.5388,6984.23292,19824.2268,9052.2576,0.6612496272523285
Tipton IN,9924,9084.58812,15427.6596,14433.5976,6887.56128,13259.7288,7819.125,0.4740084660679602
Union IN,8964,8934.67752,15002.928,15370.8864,6485.39652,17751.6252,8675.4456,-0.10534121275524501
Vanderburgh IN,10301.99712,8454.96312,13877.9976,15047.5608,6796.38648,19103.2812,8937.35964,0.15656544188750696
Vermillion IN,8728.78272,8125.16088,14785.1736,16736.0304,6106.8486,17750.8728,8607.81228,-0.10433099843219483
Vigo IN,9762.627,8095.17768,13767.8544,16736.0304,6470.58696,18716.6376,8929.25028,-0.1639519617610452
Wabash IN,8928,8634.8562,14728.572,15367.6452,6363.71484,12622.0176,7234.00776,0.13478977225776917
Warren IN,8784,8634.8562,15806.5812,14828.772,6311.5386,13307.1264,7487.93772,0.4321252765387446
Warrick IN,11294.33124,8814.74928,15027.0516,15047.5608,7286.313,20018.9784,9887.469,1.024196791679027
Washington IN,8784,7555.49928,14710.6608,13718.3412,5920.44504,17921.7612,7719.09372,-0.2129782947848994
Wayne IN,8784,8245.08912,14064.4032,15223.9452,6170.31084,12654.1608,6861.73464,-0.05638207293317704
Wells IN,8606.89752,8305.05396,14976.708,15514.5852,6127.86732,17417.268,8293.35132,0.6753006743778625
White IN,9024,8694.82032,15191.514,14828.772,6420.22704,12850.1328,7324.1484,0.3581251988694853
Whitley IN,8852.10864,7795.35648,15254.7528,15514.5852,6032.03352,17640.0708,8327.78904,0.8984682249600272
Adair IA,8580,9354.42768,15327.582,14720.9976,6498.35004,10466.9502,7786.86324,0.3035980580707974
Adams IA,8772,8784.76752,15554.4084,14720.9976,6361.50948,10310.63448,7660.83984,0.16035310680940065
Allamakee IA,8580,8754.78516,15238.746,15331.7196,6281.07636,10321.8018,7661.91792,0.32442803665049896
Appanoose IA,8580,7705.40988,14928.0792,14002.5,5900.8458,10216.8486,6756.5742,-0.5160405392141018
Audubon IA,8580,8874.71412,15836.4576,14720.9976,6324.53172,10142.64768,7653.74628,-0.3489640742587929
Benton IA,8580,9774.17796,15759.1908,14149.4388,6650.4426,12966.6252,8615.53128,0.8864600073764292
Black Hawk IA,10163.02884,8544.91044,13929.2244,14149.4388,6778.62372,14401.74,8640.07032,0.49457378531499
Boone IA,9456,9084.58812,14825.4768,14433.5976,6717.98652,10943.92752,7932.35964,0.7299895148376679
Bremer IA,9144,9264.48048,15340.812,15478.6608,6670.1184,13054.1088,8917.26564,1.1418665367578067
Buchanan IA,8892,8904.69648,15468.9756,14002.5,6448.44504,10387.88604,7547.23824,0.47606138549506727
Buena Vista IA,8580,8724.80352,14938.1568,14720.9976,6270.2124,10346.35248,7398.1794,0.3623719347278897
Butler IA,8580,8754.78516,15609.6192,15331.7196,6281.07636,10274.46024,7753.76148,0.2009075494544005
Calhoun IA,8580,8544.91044,15212.0712,14433.5976,6205.03056,10257.06156,7299.10176,0.07822967263448213
Carroll IA,8580,8934.67752,14903.7132,14433.5976,6346.25832,10272.77052,7367.00028,0.9176388828612202
Cass IA,8580,8574.89136,14868.4428,14720.9976,6215.89308,10202.9304,7279.29708,0.19984205492601081
Cedar IA,9504,8784.76752,15528.9768,14002.5,6626.7414,10654.8984,7830.41376,1.0344519398947873
Cerro Gordo IA,9300,8814.74928,14310.8676,15331.7196,6563.688,10834.55196,7845.64452,0.8306826657109458
Cherokee IA,8580,8964.65988,15229.8972,14720.9976,6357.12156,10635.55956,7656.27324,0.5611832443578527
Chickasaw IA,8580,8784.76752,15358.9956,15331.7196,6291.94044,10665.66876,7805.2266,0.9399519735659111
Clarke IA,9408,9264.48048,14880.924,14720.9976,6765.7764,10639.92552,7994.25804,0.031717650162576584
Clay IA,8664,9264.48048,15224.0484,14720.9976,6496.19532,10732.96512,7830.64092,0.5306473965983586
Clayton IA,8604,8694.82032,15515.9916,14002.5,6268.0452,10155.26952,7301.35908,0.38484164574657403
Clinton IA,9216,8155.14252,14733.8808,14002.5,6294.24972,10486.49784,7200.9294,0.44916561520382176
Crawford IA,8580,8754.78516,15000.1344,14720.9976,6281.07636,10142.64768,7369.45308,0.24713905941912062
Dallas IA,12361.38,9534.32148,14985.354,14580.5388,7933.67652,15662.4504,10627.7424,1.7236974387576562
Davis IA,8580,7855.3206,15667.6368,14002.5,5955.16512,10221.70536,7027.96068,0.545720489129867
Decatur IA,8580,8424.9822,15078.7092,14720.9976,6161.5752,10551.48564,7380.30468,-0.2795991931830627
Delaware IA,8580,8694.82032,15525.7416,14002.5,6259.34844,10649.10864,7435.46484,0.4723472588022524
Des Moines IA,10320,8215.10664,14200.7184,14002.5,6716.00028,11391.78804,7757.86308,0.39423528352476117
Dickinson IA,9528,9084.58812,14977.1556,14720.9976,6744.07476,10728.1728,8023.39092,0.8632246587387153
Dubuque IA,9672,8904.69648,14100.9804,14149.4388,6731.06988,14071.5588,8545.04664,0.8860661292724313
Emmet IA,8580,9594.28488,15169.9176,15331.7196,6585.26004,10304.7246,7961.92164,0.21637029864798007
Fayette IA,8580,8694.82032,15178.2888,15331.7196,6259.34844,10142.64768,7570.63692,0.17628756034877782
Floyd IA,8580,9084.58812,14918.9328,15331.7196,6400.57692,10491.28056,7746.7932,0.6025449039727269
Franklin IA,8580,9054.60648,15610.2204,15331.7196,6389.71368,10272.77052,7869.29664,0.5783157524722037
Fremont IA,8580,8904.69648,15769.5384,14720.9976,6335.39496,10269.7236,7682.42208,0.05512936444103658
Greene IA,8580,9234.49872,15367.6404,14433.5976,6454.89552,10365.156,7641.375,0.15071550146858698
Grundy IA,8031.45708,8604.87372,15738.822,14580.5388,6027.99864,12837.7692,8034.28128,0.8539002490121731
Guthrie IA,8067.42624,9294.46368,16589.6928,14867.9388,6290.89752,12634.2636,8577.43728,0.3740861993575437
Hamilton IA,9048,8934.67752,15144.3072,14433.5976,6515.83296,10541.343,7693.04664,0.7567461741032844
Hancock IA,8580,9084.58812,15313.2552,15331.7196,6400.57692,10635.27252,7899.45336,0.2634380143469992
Hardin IA,8580,8754.78516,15508.0104,14433.5976,6281.07636,10352.86884,7492.01952,0.5040371703255248
Harrison IA,9109.29708,8994.64164,15524.0124,14867.9388,6559.77096,13391.2164,8775.17208,0.33929891246937327
Henry IA,9096,8035.21368,14768.868,14002.5,6207.31416,10555.752,7137.41376,0.5051280778348951
Howard IA,8580,8994.64164,15600.3792,15331.7196,6367.98564,10341.25416,7862.76924,0.18408169366812807
Humboldt IA,8580,8724.80352,15115.5624,15331.7196,6270.2124,10478.9934,7659.98076,0.7598440922305286
Ida IA,8580,8844.73248,15360.6528,14720.9976,6313.66776,10326.16332,7559.0976,0.3912384667493219
Iowa IA,8580,9024.624,15645.4704,14002.5,6378.8496,10772.55468,7632.34356,0.7086965115899618
Jackson IA,8580,8694.82032,15035.5932,14002.5,6259.34844,10599.42852,7281.7302,0.4433909087558088
Jasper IA,9216,8994.64164,14697.5628,14433.5976,6598.4334,10886.98896,7752.5076,0.46418020755490347
Jefferson IA,9024,8095.17768,14395.7244,14002.5,6202.95336,10956.3084,7140.5544,0.32333258080920485
Johnson IA,12432,9294.46368,14332.3716,14149.4388,7872.35448,16393.8912,10465.03932,1.6717412100304898
Jones IA,8580,8814.74928,15308.8584,14149.4388,6302.80368,12840.1728,8083.6794,0.8149722794457889
Keokuk IA,8580,8874.71412,15515.1996,14002.5,6324.53172,10309.84644,7405.66044,0.3349303415045035
Kossuth IA,8580,9624.26664,15554.5488,15331.7196,6596.124,10184.89452,8048.45292,0.492942944476499
Lee IA,8616,7645.44576,14577.6768,14002.5,5892.16296,10533.84888,6737.65644,0.14706996159182356
Linn IA,9528,8844.73248,14446.9596,14149.4388,6657.16548,13987.5468,8540.57004,1.0891498685780088
Louisa IA,8640,8784.76752,15191.2644,14002.5,6313.68012,10215.42192,7274.87472,0.4813078312126986
Lucas IA,10044,8544.91044,14977.5756,14002.5,6735.49584,10924.96872,7866.58596,-0.011085341720084999
Lyon IA,8580,8784.76752,16008.066,14720.9976,6291.94044,10350.76752,7726.76592,0.5409728147247844
Madison IA,9333.13692,9294.46368,16069.4676,14580.5388,6749.51436,13526.8692,9086.30496,0.6407670691964112
Mahaska IA,8604,8574.89136,14966.1192,14002.5,6224.58984,10203.81228,7111.80468,0.3464491630135453
Marion IA,9660,8994.64164,15031.4916,14433.5976,6759.312,10757.60448,7981.95336,0.5653927807667891
Marshall IA,9312,8035.21368,14474.6616,14433.5976,6285.57936,10580.373,7267.40256,0.470012938219047
Mills IA,10523.46756,8994.64164,15419.628,14867.9388,7072.18068,14391.9648,9567.62472,0.40422496275031444
Mitchell IA,8580,8874.71412,15613.3944,15331.7196,6324.53172,10142.64768,7763.78904,0.47772768952261463
Monona IA,8580,8784.76752,15333.5244,14720.9976,6291.94044,10357.80684,7537.15212,-0.11621405929709984
Monroe IA,9012,8095.17768,15158.4816,14002.5,6198.60504,10389.2688,7191.7266,-0.11766634376864883
Montgomery IA,8580,8574.89136,15091.2084,14720.9976,6215.89308,10156.16676,7329.44532,0.09179078999765959
Muscatine IA,10944,7975.25028,14281.5816,14002.5,6855.19044,11653.60908,8003.33568,0.7798838518259358
O'Brien IA,8580,8994.64164,14879.2416,14720.9976,6367.98564,10272.77052,7465.08984,0.2870104168964605
Osceola IA,8580,9054.60648,15857.1264,14720.9976,6389.71368,10142.64768,7729.19532,0.44822055086032764
Page IA,8580,9084.58812,14774.9244,14720.9976,6400.57692,10567.18944,7553.99196,0.30198379765755184
Palo Alto IA,8580,9324.44532,15175.4892,14720.9976,6487.4868,10305.23508,7686.21096,0.20173013284310617
Plymouth IA,8580,9174.53544,15464.5404,14867.9388,6433.16892,13116.7512,8547.07836,0.9901301586249088
Pocahontas IA,8580,8664.84012,15731.2224,14720.9976,6248.4858,10142.64768,7542.5976,0.11434725416231008
Polk IA,10764.4548,9264.48048,14273.4972,14580.5388,7257.27324,14536.266,9401.04708,0.9403997663104966
Pottawattamie IA,10727.31228,8454.96312,14484.3192,14867.9388,6950.49468,14536.2168,9217.40628,0.6769864162724414
Poweshiek IA,9180,8454.96312,15294.3984,14433.5976,6389.84256,10646.92164,7631.13648,0.47064443092216707
Ringgold IA,8580,8335.03488,15652.4028,14720.9976,6128.98392,10437.42408,7476.2424,-0.4644067998870464
Sac IA,8580,8784.76752,15587.1504,14720.9976,6291.94044,10496.53416,7648.64868,0.3185171475644824
Scott IA,9812.80512,8904.69648,13787.5752,14149.4388,6782.08884,13894.6176,8460.86724,0.8883556735393742
Shelby IA,8580,8604.87372,15580.3428,14720.9976,6226.75704,10527.62472,7585.9182,0.5344125887138117
Sioux IA,8580,9024.624,15440.0832,14720.9976,6378.8496,10272.77052,7636.13676,1.0001561961880492
Story IA,10836,9264.48048,14003.376,14580.5388,7283.19648,15002.8344,9483.46872,1.2592267121291847
Tama IA,8700,8574.89136,15524.1264,14433.5976,6259.374,10392.0666,7484.55468,0.31464026386065896
Taylor IA,8580,8814.74928,15184.188,14720.9976,6302.80368,10219.42452,7466.94504,0.05114537901296649
Union IA,8580,8724.80352,14566.3716,14720.9976,6270.2124,10435.73436,7317.75,0.29759935056711656
Van Buren IA,8580,7825.33812,15980.5068,14002.5,5944.30116,10304.7246,7129.3476,-0.13446211791544757
Wapello IA,9108,7675.42752,14358.5232,14002.5,6081.29736,10621.27512,6903.52368,-0.06061532652956616
Warren IA,9546.06,9504.33912,15617.856,14580.5388,6902.71068,13677.0276,9163.344,1.0081016821429338
Washington IA,9828,8634.8562,15170.2524,14149.4388,6689.8206,13625.5476,8676.9456,0.7982191398967506
Wayne IA,8580,7885.30368,15680.5284,14002.5,5966.02884,10142.64768,7020.7266,-0.23063101271296493
Webster IA,8580,8065.19676,14552.5476,14433.5976,6031.21104,10325.58624,6943.88676,0.04543210126380385
Winnebago IA,8580,9174.53544,15150.9816,15331.7196,6433.16892,10243.11912,7776.9924,0.6135981083737163
Winneshiek IA,8580,9264.48048,15628.4592,15331.7196,6465.75876,10272.77052,7955.48436,1.0409614346656277
Woodbury IA,9880.39752,8904.69648,14057.8824,14867.9388,6806.58036,13546.1148,8667.28128,0.44957652723746594
Worth IA,8580,8844.73248,15577.4664,15331.7196,6313.66776,10740.20292,7911.45336,0.4237503031796496
Wright IA,8580,8754.78516,15238.0956,15331.7196,6281.07636,10142.64768,7610.8476,0.13399708032567315
Allen KS,8616,9174.53544,14681.0592,16265.766,6446.21268,8868.32004,6535.0818,-0.43450779585675764
Anderson KS,8616,9774.17796,15034.7472,17523.138,6663.48708,9123.74196,7283.094,0.06934381131058968
Atchison KS,8616,9444.375,14769.1308,17523.138,6543.9858,8907.1494,7024.00776,-0.07945808305526564
Barber KS,8616,9444.375,15716.6268,17738.6868,6543.9858,8864.874,7335.66432,-0.3605808673419116
Barton KS,8616,8724.80352,14497.8264,16804.6404,6283.25688,8966.5752,6490.656,0.153185202102849
Bourbon KS,8616,8874.71412,14269.2276,16265.766,6337.57548,8928.5478,6322.2576,-0.5101137425730897
Brown KS,8616,8934.67752,14883.2604,17523.138,6359.30196,8965.1682,6878.48436,-0.34472406875696765
Butler KS,10651.40184,9534.32148,14924.3784,16915.6548,7314.08352,15685.9452,9566.21124,0.3365710088244738
Chase KS,8616,9054.60648,15482.5344,16768.7172,6402.75732,8928.99096,6870.69144,-0.4884135654952561
Chautauqua KS,8616,9114.5706,15679.8276,16768.7172,6424.48536,8982.76104,6963.44532,-0.7129764400946218
Cherokee KS,8688,9114.5706,14936.4276,16265.766,6450.57348,8878.81272,6614.00028,-0.7302184783722968
Cheyenne KS,8616,9474.35748,15962.244,16804.6404,6554.84988,9215.874,7253.28144,0.1358200815398336
Clark KS,9840,8544.91044,16114.0104,17738.6868,6661.57836,9449.51952,7730.52324,0.7562046613147065
Clay KS,9000,9114.5706,15428.9376,17163.888,6563.62356,9269.31084,7228.92192,0.08161218918211814
Cloud KS,8616,9354.42768,14849.5896,17163.888,6511.39452,8928.56832,6918.156,-0.3324109189384856
Coffey KS,8616,8844.73248,15745.8732,17523.138,6326.71212,9133.2078,7131.40644,-0.05048418883369654
Comanche KS,8616,9294.46368,15436.9104,17738.6868,6489.6672,8985.59112,7234.75776,-0.4423985742398188
Cowley KS,8640,8634.8562,14589.4716,16768.7172,6259.36152,8981.2566,6485.21856,-0.27091209338735345
Crawford KS,8880,8335.03488,14253.8088,16265.766,6237.68556,9191.59356,6286.39824,-0.18578886844546996
Decatur KS,8616,9504.33912,15360.4656,18708.6588,6565.71384,9209.8308,7624.26564,-0.015362544629666353
Dickinson KS,8616,9294.46368,14928.246,17163.888,6489.6672,8955.43356,6924.79692,0.034316752741621555
Doniphan KS,8291.47488,8934.67752,15075.4836,17670.0792,6241.71456,13631.0256,8143.875,0.006603219057813285
Douglas KS,11400,10073.99928,13265.0064,17670.0792,7780.87716,16549.7124,10034.26536,0.9908591649057937
Edwards KS,8616,8724.80352,15730.1988,17738.6868,6283.25688,8928.99096,7084.73436,-0.25978729887402036
Elk KS,8616,9234.49872,15878.7456,16768.7172,6467.93916,9172.88748,7117.25028,-0.7819401318148467
Ellis KS,8880,9114.5706,14265.4728,16804.6404,6520.14252,9271.7586,6759.9294,0.5065859979709642
Ellsworth KS,8616,8664.84012,15173.0508,17163.888,6261.53028,8955.43356,6753.83568,-0.031495162601611656
Finney KS,9624,8185.12428,14122.9248,17738.6868,6452.94804,9417.64236,6950.89824,0.04655887334140959
Ford KS,9432,8574.89136,14350.8468,17738.6868,6524.60664,9365.84844,7074.98436,0.03022329373546147
Franklin KS,9696,9624.26664,14920.1724,17523.138,7000.49484,9378.40944,7673.42208,0.0660227409696255
Geary KS,10872,9384.41088,12775.4388,17163.888,7339.69632,10494.38748,7642.22676,-0.23517670874866883
Gove KS,8616,9654.24972,15755.478,16804.6404,6620.03172,8874.38748,7168.99224,-0.1770594010013058
Graham KS,8616,9234.49872,15582.7116,16804.6404,6467.93916,9062.00028,7013.98464,-0.321302229140257
Grant KS,8616,8155.14252,14994.498,17738.6868,6076.84644,8985.59112,6678.99972,0.30302880173874086
Gray KS,8616,8305.05396,15736.8192,17738.6868,6131.1654,8886.52152,6915.48048,0.9034641324490099
Greeley KS,8616,9864.12372,15700.0572,16804.6404,6696.07764,8985.59112,7263.98436,-0.6022044769452701
Greenwood KS,8616,9024.624,15455.1192,16768.7172,6391.89408,9039.36036,6882.4416,-0.6261956827917646
Hamilton KS,8616,8424.9822,16035.3,17738.6868,6174.61968,8846.47848,7032.9924,-0.7545314524252632
Harper KS,8616,8814.74928,15202.4868,16768.7172,6315.84816,9062.46684,6738.62472,-0.6916327948376338
Harvey KS,9131.55252,9234.49872,14526.798,15442.734,6654.74484,14555.7336,8061.52368,0.4656721887937409
Haskell KS,8616,8245.08912,15462.9948,17738.6868,6109.43772,8928.99096,6828.18384,0.8149584901464362
Hodgeman KS,8616,8335.03488,16345.5072,17738.6868,6142.02828,8955.43356,7115.55468,0.10267473117623971
Jackson KS,8508.46068,9234.49872,15380.8656,17670.0792,6428.9736,13813.3848,8472.29664,0.23064674518751052
Jefferson KS,9031.3272,9834.1428,15620.3388,17670.0792,6835.70436,14185.0608,9060.1956,0.311122005110097
Jewell KS,8616,9384.41088,15940.4628,17163.888,6522.2586,8920.0584,7230.79692,-0.16441814469638596
Johnson KS,14127.8964,10253.89236,13774.4208,16771.9572,8834.48364,17941.8984,11390.49972,1.8019831009953335
Kearny KS,8616,8245.08912,15360.4704,17738.6868,6109.43772,8928.99096,6799.59012,-0.4490040072689851
Kingman KS,8616,8904.69648,15462.066,16915.6548,6348.43944,14144.754,8294.75028,0.09584356476937639
Kiowa KS,8616,8724.80352,15102.588,17738.6868,6283.25688,9240.8064,6996.81228,0.07065294215539912
Labette KS,8616,9234.49872,14305.5756,16265.766,6467.93916,8980.1082,6484.16376,-0.507221939715013
Lane KS,8616,8275.07004,16378.5576,18708.6588,6120.3006,8928.99096,7364.28144,-0.013432755665385746
Leavenworth KS,12573.6996,9144.55296,14301.2604,16951.5816,7869.38016,16822.3692,10287.3984,0.5350987074737301
Lincoln KS,8616,8514.92796,15842.4696,17163.888,6207.21096,8928.99096,6876.2424,0.03430252605740373
Linn KS,8497.12056,9354.42768,15567.0732,17670.0792,6468.32004,13885.8996,8584.18728,-0.1948655800877437
Logan KS,8616,9324.44532,15579.0744,16804.6404,6500.53056,9126.69432,7065.10176,0.04554599742705131
Lyon KS,8616,8454.96312,13999.4268,17523.138,6185.48364,9207.81156,6516.8826,0.03500106355625481
McPherson KS,8940,9504.33912,14992.926,16768.7172,6683.11152,9031.60032,7056.5544,0.4394568906023699
Marion KS,8616,8844.73248,15661.7076,16768.7172,6326.71212,8846.47848,6817.91016,-0.057126631202786236
Marshall KS,8616,9564.30252,15240.4356,17523.138,6587.44044,9270.52152,7301.59356,0.12516022054560796
Meade KS,8616,8335.03488,15526.9992,17738.6868,6142.02828,8955.43356,6887.58984,0.09501904473132994
Miami KS,10535.41044,10433.78388,15302.4024,16951.5816,7597.96584,15354.1344,9879.95292,0.798100909291665
Mitchell KS,8616,9384.41088,15131.9208,17163.888,6522.2586,8928.99096,7008.32004,-0.3108623658284289
Montgomery KS,8616,9204.51636,14599.758,16768.7172,6457.07592,9108.3318,6731.406,-0.3966072568504663
Morris KS,8616,9324.44532,15546.5376,17163.888,6500.53056,8928.99096,7101.00804,-0.0899642869490593
Morton KS,8616,8754.78516,15150.6972,17738.6868,6294.12084,8968.57548,6945.75,0.24157321913647337
Nemaha KS,8616,9144.55296,15484.7268,17523.138,6435.34932,9055.12716,7150.66404,0.47529138149460187
Neosho KS,8616,8874.71412,14780.058,16265.766,6337.57548,8998.30152,6484.86696,-0.2719359147685764
Ness KS,8616,8514.92796,15909.6024,16804.6404,6207.21096,8994.85908,6813.14064,-0.2579834066853134
Norton KS,8616,9744.1956,15217.1736,16804.6404,6652.623,8954.46096,7075.59372,0.17098643766831692
Osage KS,8508.46068,9204.51636,15047.9472,17670.0792,6418.11036,13813.3848,8369.3826,-0.010649992315359083
Osborne KS,8616,9324.44532,15576.3588,18708.6588,6500.53056,9120.01464,7591.29708,-0.24551361148991666
Ottawa KS,8904,8604.87372,15955.2132,17163.888,6344.15556,8972.9832,7063.35132,-0.10894964172599238
Pawnee KS,8616,8994.64164,15128.6568,17738.6868,6381.03,9097.37472,7066.49196,-0.38653689036778816
Phillips KS,8616,10133.96412,15396.1788,16804.6404,6793.8516,8846.47848,7243.03128,-0.34100025585901506
Pottawatomie KS,9922.6758,8874.71412,15469.914,17670.0792,6811.0356,15221.0112,9277.33596,0.610404172902329
Pratt KS,8784,8694.82032,14971.38,17738.6868,6333.26592,9379.7952,7051.32792,-0.13991478846420133
Rawlins KS,8616,9294.46368,15818.7852,16804.6404,6489.6672,8846.47848,7042.45308,0.15070820353449257
Reno KS,9408,8544.91044,14586.3528,16768.7172,6505.04736,9251.904,6818.0742,-0.14403316022715773
Republic KS,8616,9384.41088,15640.9368,17163.888,6522.2586,9088.68384,7194.40644,-0.043325458037398255
Rice KS,8616,8664.84012,15586.6104,16768.7172,6261.53028,9309.30756,6857.69892,-0.3351042280544292
Riley KS,10991.62872,11453.17752,13011.8508,17310.8292,8132.6382,16024.2144,10084.94532,0.6559648558480573
Rooks KS,8616,9204.51636,15229.6332,18708.6588,6457.07592,8846.47848,7373.93772,-0.2588166828589436
Rush KS,8616,8934.67752,15929.6256,16804.6404,6359.30196,9363.91116,7080.89868,-0.06943609719484083
Russell KS,8616,9144.55296,15327.204,16804.6404,6435.34932,9028.04004,6899.1834,-0.032377246580567655
Saline KS,9648,8394.999,13794.5304,17163.888,6537.69,9568.44504,6829.96512,0.3671918124426972
Scott KS,8616,8394.999,15246.9552,16804.6404,6163.7556,9149.41404,6625.6326,0.13870223398275652
Sedgwick KS,10265.2104,8874.71412,14047.836,15442.734,6935.14896,15398.7612,8452.5234,0.23612479754517823
Seward KS,9408,8454.96312,14179.5912,17738.6868,6472.45608,9238.5564,6937.22244,-0.2335647514738771
Shawnee KS,9803.74368,8874.71412,13533.0708,17670.0792,6767.94144,14734.1268,8567.89092,0.3899492273621834
Sheridan KS,8616,9504.33912,15721.476,16804.6404,6565.71384,9120.01464,7171.04664,-0.11569064475409967
Sherman KS,9408,9474.35748,13794.2256,16804.6404,6841.82304,9285.8796,6969.73464,-0.1208520004816744
Smith KS,8616,9894.10548,15706.92,16804.6404,6706.94088,9112.93944,7312.61724,-0.36011706354097733
Stafford KS,8616,8664.84012,15825.6612,17738.6868,6261.53028,8846.47848,7065.60132,-0.42759953931466105
Stanton KS,8688,8454.96312,14759.2524,17738.6868,6211.57176,9017.72244,6763.73076,0.5861197488953103
Stevens KS,8736,8724.80352,15335.6604,17738.6868,6326.7378,9066.74196,7058.7576,-0.20462498802963672
Sumner KS,9108,8964.65988,15245.6604,16915.6548,6548.43756,14430.9972,8521.05468,-0.05701029525946824
Thomas KS,8616,9144.55296,15435.8352,16804.6404,6435.34932,9062.00028,6938.9334,0.7355449848396182
Trego KS,8616,9294.46368,15322.02,16804.6404,6489.6672,8928.99096,6927.05496,-0.41845204321474966
Wabaunsee KS,7949.94432,9084.58812,16199.43,17670.0792,6172.28316,13416.3648,8322.60936,0.13598884058349597
Wallace KS,8616,9354.42768,16063.5528,18708.6588,6511.39452,8943.14136,7688.57004,0.15918913702295612
Washington KS,8616,10163.94648,15773.2872,17163.888,6804.71556,8970.24684,7493.17164,0.1068038857685893
Wichita KS,8616,8394.999,15265.8924,16804.6404,6163.7556,9120.01464,6622.719,-0.4307130128296737
Wilson KS,8616,9084.58812,15052.9788,16768.7172,6413.62128,9363.91116,6883.58208,-0.5990012775479004
Woodson KS,8616,8724.80352,15655.2168,16265.766,6283.25688,8928.99096,6653.0976,-1.025195549356707
Wyandotte KS,11261.55108,8994.64164,13511.9724,16771.9572,7339.61796,15877.1928,9219.16404,-0.4321397984100123
Adair KY,7956,7915.28544,14223.2184,14549.022,5750.79276,10974.93756,7001.71872,-0.8582869878219913
Allen KY,8280,9024.624,14439.8904,16923.9384,6270.14796,14194.1256,9075.46068,-0.7955817779686291
Anderson KY,8976,8394.999,15671.9124,14153.8476,6294.19776,11160.85176,7883.2302,-0.023326034028170756
Ballard KY,8340,8095.17768,15734.4072,18895.932,5955.11316,10716.25272,8705.31228,-0.6388702778642812
Barren KY,8268,8005.23192,14122.326,14549.022,5896.43376,10709.7078,7050.65988,-0.7215375638330849
Bath KY,8124,8335.03488,14239.4976,14297.5476,5963.75724,10575.72732,7046.57004,-1.0567036404188974
Bell KY,7956,8454.96312,13581.5232,13794.5988,5946.33948,10538.60964,6705.3084,-1.4713623562626388
Boone KY,12747.084,8904.69648,14676.1272,17139.4872,7845.29376,17632.4292,11651.4456,1.3383868864467552
Bourbon KY,9219.5244,8574.89136,15373.1484,14049.948,6447.61812,15086.8404,8974.59372,0.14581158509658093
Boyd KY,9203.82348,7975.25028,13606.1472,14193.648,6224.65572,14776.6212,8237.89824,-0.19680511059521888
Boyle KY,8880,7675.42752,13950.4464,14153.8476,5998.68384,11544.93168,7226.4294,0.10372255208162956
Bracken KY,7976.62356,8904.69648,15740.676,14193.648,6116.7678,13868.3772,8456.469,-0.6558081202417193
Breathitt KY,7956,8544.91044,13803.1572,13794.5988,5978.93076,10447.41792,6773.73408,-1.9108984669965423
Breckinridge KY,7956,8514.92796,14504.9376,13902.3732,5968.06716,10409.78544,6971.19144,-0.5690362201792881
Bullitt KY,10592.07936,8784.76752,15083.2716,13798.4736,7020.99612,15852.9276,9603.969,0.3236371737416474
Butler KY,7956,8125.16088,14468.64,16923.9384,5826.83868,14049.5352,8602.55496,-0.6874761560818347
Caldwell KY,7956,8305.05396,14650.4028,18895.932,5892.02124,10409.78544,8272.29708,-0.24316284851848521
Calloway KY,9792,9144.55296,14558.6856,18895.932,6861.45996,11503.94244,9504.76536,-0.26511956214845045
Campbell KY,10988.86524,9234.49872,14332.8852,17139.4872,7327.72188,16245.1368,10691.0706,0.7344345468507849
Carlisle KY,7956,8035.21368,14829.318,18895.932,5794.24692,10427.4588,8226.71124,-0.5248319003212408
Carroll KY,7956,7915.28544,13595.0304,13902.3732,5750.79276,10545.39768,6540.88692,-0.40330752882922766
Carter KY,7956,9054.60648,14066.2044,14297.5476,6163.61352,10472.94732,7174.63692,-0.9323435218534408
Casey KY,7956,7765.37472,14625.7356,14549.022,5696.4738,10541.592,6938.29692,-1.226291430160569
Christian KY,9649.03344,8335.03488,13770.8364,13798.4736,6516.33696,15613.1004,8690.95308,-0.5605285390436158
Clark KY,9181.63548,8574.89136,14951.796,14049.948,6433.88964,15055.9692,8841.00804,0.053930658985518555
Clay KY,7956,7855.3206,14141.7288,13794.5988,5729.06544,11027.95824,6768.23436,-1.84888843793993
